videoId,textDisplay,cleanedData,likeCount,publishedAt,updatedAt,commentId
wUn05hdkhjM,Peter&#39;s dad: after all these years I&#39;ve found you. <br>Peter: who the hell are you?<br>Peter&#39;s dad: I&#39;m your DAD Peter.<br>Awkward moment!,"peters dad after all these years ive found you 
peter who the hell are you
peters dad im your dad peter
awkward moment",0,2017-03-13T19:03:13Z,2017-03-13T19:03:13Z,UghSsSQlYfw8JXgCoAEC
wUn05hdkhjM,heymarvel why dont you make a movie about all ghost riders come together and the bad guys that has been in every ghost rider movie come back to life and then all the ghost riders and all the bad guys have a big war,heymarvel why dont you make a movie about all ghost riders come together and the bad guys that has been in every ghost rider movie come back to life and then all the ghost riders and all the bad guys have a big war,0,2017-03-13T01:27:33Z,2017-03-13T01:27:33Z,Ugj8iwsbHS1T1ngCoAEC
wUn05hdkhjM,Show Time A-Holes!,show time aholes,1,2017-03-12T12:02:24Z,2017-03-12T12:02:24Z,Ugg16V1ex07kWXgCoAEC
wUn05hdkhjM,EGO : I&#39;m your dad peter.<br>peter : noooooo,"ego  im your dad peter
peter  noooooo",2,2017-03-12T08:33:14Z,2017-03-12T08:33:14Z,UghRdB6w7hGuingCoAEC
wUn05hdkhjM,Buen trailer<br>Me fascino,"buen trailer
me fascino",0,2017-03-12T00:50:00Z,2017-03-12T00:50:00Z,UghhQhNdBE4gengCoAEC
wUn05hdkhjM,oh hell yeah. this is going to be awesome.,oh hell yeah this is going to be awesome,1,2017-03-12T00:46:42Z,2017-03-12T00:46:42Z,UghUI3gFTKos13gCoAEC
wUn05hdkhjM,robert knepper have to play mefisto in avengers infinity war,robert knepper have to play mefisto in avengers infinity war,0,2017-03-11T21:16:05Z,2017-03-11T21:16:05Z,UgiembBPDasj03gCoAEC
wUn05hdkhjM,"<a href=""http://www.youtube.com/watch?v=wUn05hdkhjM&amp;t=0m22s"">0:22</a> Music PLEASE?",022 music please,0,2017-03-11T11:23:31Z,2017-03-11T11:23:31Z,Ugi1LvGS2EUfJngCoAEC
wUn05hdkhjM,cadê os BRs aqui????,cadê os brs aqui,0,2017-03-10T20:21:35Z,2017-03-10T20:21:35Z,UggQcH-XBrqeN3gCoAEC
wUn05hdkhjM,Yes! Thanks for using &quot;The Chain&quot;! &quot;This is Formula One.&quot;,yes thanks for using the chain this is formula one,0,2017-03-09T08:50:32Z,2017-03-09T08:50:32Z,UgjqiGEIzIWT8XgCoAEC
wUn05hdkhjM,Universal Church of Truth?,universal church of truth,1,2017-03-08T23:32:03Z,2017-03-08T23:32:03Z,UggeaWRutyMmQngCoAEC
wUn05hdkhjM,"I&#39;m really hoping Taserface is a member of the Stark like he is in the comics, just because it&#39;ll help tie this in to the rest of the MCU a bit more. Also, seeing Vance Astro or Wal Rus at some point would be great.",im really hoping taserface is a member of the stark like he is in the comics just because itll help tie this in to the rest of the mcu a bit more also seeing vance astro or wal rus at some point would be great,0,2017-03-08T19:53:00Z,2017-03-08T19:55:58Z,Ugjw9p2_zlNyQ3gCoAEC
wUn05hdkhjM,WHATs Song ?,whats song ,0,2017-03-08T15:53:16Z,2017-03-08T15:53:16Z,UghBkgOSBYBw6HgCoAEC
wUn05hdkhjM,Pretty Sure it&#39;s gonna be an AWESOME MOVIE!!!!,pretty sure its gonna be an awesome movie,0,2017-03-08T15:00:23Z,2017-03-08T15:00:23Z,UggSIMPdF61FRHgCoAEC
wUn05hdkhjM,KKMX-TCFD,kkmxtcfd,0,2017-03-08T13:11:13Z,2017-03-08T13:11:13Z,UggNyGEH9Yocn3gCoAEC
wUn05hdkhjM,Baby Groot. I want one!,baby groot i want one,0,2017-03-08T12:54:14Z,2017-03-08T12:54:14Z,Ughuq24T70RQ93gCoAEC
wUn05hdkhjM,Drax is right! Family does yell at each other all the time 🙂,drax is right family does yell at each other all the time ,0,2017-03-08T01:41:48Z,2017-03-08T01:41:48Z,UgiV6xOJ2EunyngCoAEC
