Video ID,Comment,Comment ID,Published At,Updated At,Likes
6ZfuNTqbHE8,That will forever be the quote for thanos !! :45- - Destiny has Arrived,UgxnCSlQoeJsmkGvWSV4AaABAg,2023-05-09T04:13:34Z,2023-05-09T04:14:20Z,0
6ZfuNTqbHE8,Fun fact the beginning when Thanos starts talking I was thinking about Optimus Prime for a minute,UgzWxp24llcNX-RvsD14AaABAg,2023-05-08T05:34:29Z,2023-05-08T05:34:29Z,1
6ZfuNTqbHE8,Truth be told Thanos or the infinity stones can't touch the Quantum Realm or the Multiverse even though every other universe will Probably have to deal with Thanos,Ugwf4HBYPYxShEXp7_N4AaABAg,2023-05-08T05:33:55Z,2023-05-08T05:33:55Z,0
6ZfuNTqbHE8,"Am I weird? I absolutely loved this film, but hated Endgame.",UgyAUvwRAB8K-kzSpO94AaABAg,2023-05-07T21:04:36Z,2023-05-07T21:04:36Z,3
6ZfuNTqbHE8,"I wish that opening of the characters's narration talking about the Avengers Initiative was still used in the movie. I would like to hear the Avengers actually use that little speech. Perhaps in Kang Dynasty or Secret Wars. Perhaps Spider-Man can hear it. Or all the younger heroes training to be the Young Avengers. But overall, I think it should be used in the actual final MCU/Avengers film. I know we don't know when that could possibly ever happen. But I feel like it would be a nice way to bring things full circle. Picture it. The movie starts and the screen is just pitch black. Then we hear Nick Fury giving the whole speech and then is when the Marvel Studios logo happens. Or the speech can happen over the logo. Another way it can happen is that we see Nick Fury all alone and getting ready for the biggest battle they are ever going to face and while that happens, we hear the narration.",UgwjDLysBMGV20Awomd4AaABAg,2023-05-07T18:30:19Z,2023-05-07T18:30:19Z,0
6ZfuNTqbHE8,Legends watching in 2023,UgxkJ0y_5etuHAIbMDd4AaABAg,2023-05-07T14:32:51Z,2023-05-07T14:32:51Z,1
6ZfuNTqbHE8,good old marvel days,UgxtFuZu5CIdZkmwf-t4AaABAg,2023-05-07T10:23:56Z,2023-05-07T10:23:56Z,0
6ZfuNTqbHE8,The hype was unreal❤,Ugy3qxcWHEIw6js5N-B4AaABAg,2023-05-07T08:42:27Z,2023-05-07T08:42:27Z,2
6ZfuNTqbHE8,Marvel when things were serious,Ugzmu_976zRtTBzIyN54AaABAg,2023-05-07T05:28:19Z,2023-05-07T05:28:19Z,1
6ZfuNTqbHE8,Why they show Hulk,UgzoLIFy82ujJlEAIyd4AaABAg,2023-05-07T04:32:10Z,2023-05-07T04:32:10Z,0
6ZfuNTqbHE8,"One day, we will look back, and wonder how MARVEL got so bad...",UgykDtR27G9ENuI0FTl4AaABAg,2023-05-07T00:26:35Z,2023-05-07T00:26:35Z,2
6ZfuNTqbHE8,Mbeki,UgwgbOAzlO5w59gqg4l4AaABAg,2023-05-06T16:25:43Z,2023-05-06T16:25:43Z,0
6ZfuNTqbHE8,Is funny how they put the big green guy but he was never in the movie,Ugy0ZezSCxWbhedYgNN4AaABAg,2023-05-06T13:35:48Z,2023-05-06T13:35:48Z,1
6ZfuNTqbHE8,Made me smile to revisit this trailer years later and see the old comment from 17 year old me 5 years ago getting excited in anticipation for the upcoming release of the movie.,UgwAA8avZhEJGgIh3pp4AaABAg,2023-05-06T12:47:51Z,2023-05-06T12:47:51Z,0
6ZfuNTqbHE8,1:59 how hulk is here in the trailer if he is not in the original movie in wakanda,UgydaHP0xVG_YzDFrJR4AaABAg,2023-05-06T10:06:07Z,2023-05-06T10:06:07Z,0
6ZfuNTqbHE8,Everyone here compare End Game and Infinity War and here i am see these two as one  5 Hours 30 minutes movie.,UgymQ8oc5-r0tTJLoGV4AaABAg,2023-05-06T06:33:02Z,2023-05-06T06:33:02Z,2
6ZfuNTqbHE8,"i hope this movie ends good. Bad guy loses and good guy wins, thats how movies work 😣",UgzvA4pRM6zCD85TUUl4AaABAg,2023-05-06T02:54:28Z,2023-05-06T02:54:28Z,1
6ZfuNTqbHE8,I’m back here after 5 years…. 5 years and this trailer still gives me chills,UgwAxQnPla2lDljeFYh4AaABAg,2023-05-06T02:02:15Z,2023-05-06T02:02:15Z,83
6ZfuNTqbHE8,Peak mcu right here,UgzR3fRMYBxUqfPaPs54AaABAg,2023-05-05T22:31:14Z,2023-05-05T22:31:14Z,5
6ZfuNTqbHE8,The end of this trailer had to be rewatched in preparation for Guardians of the Galaxy Vol. 3.,Ugy8K4fsCn1qwrDocDp4AaABAg,2023-05-05T21:18:43Z,2023-05-05T21:18:43Z,1
6ZfuNTqbHE8,INFINITY WAR is better than ENDGAME,UgwYavjdUrEoUu1-6DN4AaABAg,2023-05-05T19:55:52Z,2023-05-05T19:55:52Z,4
6ZfuNTqbHE8,Still i can feel that goosebumps ❤,UgyxPyFiy2O3mfQzPQt4AaABAg,2023-05-05T14:32:48Z,2023-05-05T14:32:48Z,3
6ZfuNTqbHE8,The most hyped film and where has Marvel reached at phase 5,Ugz4Ov6ou3YsW-AuXHl4AaABAg,2023-05-05T13:21:17Z,2023-05-05T13:21:17Z,4
6ZfuNTqbHE8,"Hulk in Earth OMG
🤦🤦🤦",Ugytyk9NDm7zqOZCmK14AaABAg,2023-05-05T03:42:16Z,2023-05-05T03:42:16Z,1
